#	1st		others	
#	slim	lean	slim	lean
2	1749348	1335826	796.788	811.96
3	1657856	1345486	635.731	656.56
5	1536076	1347416	511.938	633.74
10	1448710	1353205	437.819	504.452
15	1408378	1347740	406.201	554.069
20	1411075	1342913	434.062	695.331
50	1389660	1346720	542.763	413.483
